"Name","PackageFullName"
"Microsoft.Windows.XGpuEjectDialog","Microsoft.Windows.XGpuEjectDialog_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy"
"Microsoft.WindowsAlarms","Microsoft.WindowsAlarms_11.2411.2.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.4","Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.4","Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.424.1611.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.401.2352.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.457.2140.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.486.517.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.6","Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.617.2103.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.522.1444.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.617.2103.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.731.1532.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.731.1532.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.675.1142.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCalculator","Microsoft.WindowsCalculator_11.2411.1.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCamera","Microsoft.WindowsCamera_2024.2408.1.0_x64__8wekyb3d8bbwe"
"microsoft.windowscommunicationsapps","microsoft.windowscommunicationsapps_16005.14326.22183.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsFeedbackHub","Microsoft.WindowsFeedbackHub_1.2411.17101.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsMaps","Microsoft.WindowsMaps_11.2411.7.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsSoundRecorder","Microsoft.WindowsSoundRecorder_10.2103.28.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsStore","Microsoft.WindowsStore_22508.1401.9.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsTerminal","Microsoft.WindowsTerminal_1.23.12811.0_x64__8wekyb3d8bbwe"
"Microsoft.Winget.Source","Microsoft.Winget.Source_2025.1110.1626.12_neutral__8wekyb3d8bbwe"
"Microsoft.Xbox.TCUI","Microsoft.Xbox.TCUI_1.24.10001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxApp","Microsoft.XboxApp_48.104.4001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxGameCallableUI","Microsoft.XboxGameCallableUI_1000.19041.4239.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.XboxGameOverlay","Microsoft.XboxGameOverlay_1.54.4001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxGamingOverlay","Microsoft.XboxGamingOverlay_7.325.11061.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxIdentityProvider","Microsoft.XboxIdentityProvider_12.115.1001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxSpeechToTextOverlay","Microsoft.XboxSpeechToTextOverlay_1.21.13002.0_x64__8wekyb3d8bbwe"
"Microsoft.YourPhone","Microsoft.YourPhone_1.25072.79.0_x64__8wekyb3d8bbwe"
"Microsoft.ZuneMusic","Microsoft.ZuneMusic_11.2510.7.0_x64__8wekyb3d8bbwe"
"Microsoft.ZuneVideo","Microsoft.ZuneVideo_10.24111.10061.0_x64__8wekyb3d8bbwe"
"MicrosoftCorporationII.Windows365","MicrosoftCorporationII.Windows365_2.0.918.0_x64__8wekyb3d8bbwe"
"MicrosoftCorporationII.WindowsSubsystemForLinux","MicrosoftCorporationII.WindowsSubsystemForLinux_2.5.7.0_x64__8wekyb3d8bbwe"
"MicrosoftWindows.Client.CBS","MicrosoftWindows.Client.CBS_1000.19061.1000.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.UndockedDevKit","MicrosoftWindows.UndockedDevKit_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy"
"MSTeams","MSTeams_26032.206.4355.6508_x64__8wekyb3d8bbwe"
"NcsiUwpApp","NcsiUwpApp_1000.19041.4239.0_neutral_neutral_8wekyb3d8bbwe"
"NVIDIACorp.NVIDIAControlPanel","NVIDIACorp.NVIDIAControlPanel_8.1.968.0_x64__56jybvy8sckqj"
"Pictureflect.PictureflectPhotoViewer","Pictureflect.PictureflectPhotoViewer_3.24.0.0_x64__qv172dc55mvt2"
"TradingView.Desktop","TradingView.Desktop_2.11.0.7073_x64__n534cwy3pjxzj"
"VartikaSoftwarePrivateLim.VSPLZipPasswordRecovery","VartikaSoftwarePrivateLim.VSPLZipPasswordRecovery_2.0.0.0_neutral__e05h43p6ee69w"
"Windows.CBSPreview","Windows.CBSPreview_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy"
"windows.immersivecontrolpanel","windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy"
"Windows.PrintDialog","Windows.PrintDialog_6.2.1.0_neutral_neutral_cw5n1h2txyewy"
"WuhanBamiTechnologyCo.Ltd.ZIPPasswordRecoveryUWP","WuhanBamiTechnologyCo.Ltd.ZIPPasswordRecoveryUWP_1.0.38.0_x86__ffvv9wsshj32c"
